"Credits","Abbri-Role","Player Name","Team","Matches","Runs","Highest Score","Batting Average","Strike Rate","50s","100s","Wickets","Bowling Average","Catches","Run_conceded","Ball_bowled","Over_bowled","Economy","Fantasy_score","Role"
"7","BAT","Saud Shakeel","PAK","18","346","68","19.222222222222","86.07","3","0","1","37","6","37","47","7.5","4.9333333333333","447","Batsman"
"7","BOWL","Abrar Ahmed","PAK","8","28","23","3.5","155.56","0","0","14","26.86","5","376","456","76","4.9473684210526","470","Bowler"
"8","ALL","Agha Salman","PAK","34","957","134","28.147058823529","99.38","5","1","16","45.88","17","734","802","133.4","5.5022488755622","1587","All-rounder"
"8.5","BAT","Babar Azam","PAK","127","6083","158","47.897637795276","87.92","35","19","0","0","52","0","0","0","0","7087","Batsman"
"6.5","ALL","Faheem Ashraf","PAK","34","224","64","6.5882352941176","81.8","0","0","26","46.23","10","1201.98","2127","354","3.3954237288136","990","All-rounder"
"8","BAT","Fakhar Zaman","PAK","86","3651","210","42.453488372093","93.86","17","11","1","111","43","111","135","22.3","4.9775784753363","4340","Batsman"
"8","BOWL","Haris Rauf","PAK","47","93","35","1.9787234042553","88.57","0","0","85","26.11","12","2219","2276","379.2","5.8517932489451","2352","Bowler"
"6.5","BAT","Kamran Ghulam","PAK","10","192","103","19.2","106.66","1","1","1","16","3","16","107","18","0.88888888888889","271","Batsman"
"6.5","ALL","Khushdil Shah","PAK","14","290","69","20.714285714286","98.31","1","0","3","96.33","7","289","282","47","6.1489361702128","437","All-rounder"
"7","BOWL","Mohammad Hasnain","PAK","14","53","28","3.7857142857143","155.88","0","0","17","40.17","3","682.89","2650","442","1.545","550","Bowler"
"8.5","WK","Mohammad Rizwan","PAK","87","2526","131","29.034482758621","87.68","15","4","0","0","12","0","0","0","0","2806","Wicketkeeper"
"7.5","BOWL","Naseem Shah","PAK","24","130","40","5.4166666666667","83.33","0","0","47","23.09","2","1085","1220","203.2","5.3395669291339","1359","Bowler"
"9","BOWL","Shaheen Afridi","PAK","63","261","25","4.1428571428571","84.46","0","0","125","24.17","15","3021","3240","540","5.5944444444444","3544","Bowler"
"6.5","BAT","Tayyab Tahir","PAK","7","130","38","18.571428571429","120.37","0","0","0","0","2","0","0","0","0","152","Batsman"
"6","WK","Usman Khan","PAK","5","120","50","24","85.71","1","0","0","0","1","0","0","0","0","136","Wicketkeeper"
"7.5","BOWL","Arshdeep Singh","IND","8","37","18","4.625","112.12","0","0","12","24","1","288","1345","224","1.2857142857143","387","Bowler"
"8","ALL","Axar Patel","IND","62","628","64","10.129032258065","94.8","3","0","67","32.64","25","2164.3","6162","1027","2.107400194742","2563","All-rounder"
"8.5","ALL","Hardik Pandya","IND","90","1805","92","20.055555555556","111.15","11","0","87","35.72","36","3108","3337","556.1","5.5889228556015","4400","All-rounder"
"6.5","BOWL","Harshit Rana","IND","4","13","13","3.25","130","0","0","3","24.33","0","177","170","28.4","6.2323943661972","102","Bowler"
"8","BOWL","Kuldeep Yadav","IND","107","205","19","1.9158878504673","50.16","0","0","173","26.15","16","4523.95","8736","1456","3.1071085164835","4694","Bowler"
"7.5","WK","Lokesh Rahul","IND","81","2944","112","36.345679012346","87.76","18","7","0","0","16","0","0","0","0","3332","Wicketkeeper"
"8.5","BOWL","Mohammed Shami","IND","104","220","25","2.1153846153846","83.02","0","0","202","23.97","32","4775","5140","856.4","5.5756655768333","5564","Bowler"
"8","ALL","Ravindra Jadeja","IND","199","2768","87","13.909547738693","85.16","13","0","223","35.7","74","7961.1","19044","3174","2.5082230623819","9075","All-rounder"
"7","WK","Rishabh Pant","IND","31","871","125","28.096774193548","106.21","5","1","0","0","27","0","0","0","0","1149","Wicketkeeper"
"9","BAT","Rohit Sharma","IND","267","10909","264","40.857677902622","92.39","57","31","9","59.22","95","532.98","832","139","3.8343884892086","12892","Batsman"
"8","BAT","Shreyas Iyer","IND","64","2495","113","38.984375","102.14","19","5","0","0","25","0","0","0","0","2937","Batsman"
"8.5","BAT","Shubman Gill","IND","50","2516","208","50.32","101.3","14","7","0","0","33","0","0","0","0","3014","Batsman"
"7","BOWL","Varun Chakravarthy","IND","1","0","0","0","0","0","0","1","54","0","54","60","10","5.4","27","Bowler"
"9","BAT","Virat Kohli","IND","295","13928","183","47.213559322034","93.54","72","50","5","136","154","680","468","78","8.7179487179487","16701","Batsman"
"6","ALL","Washington Sundar","IND","22","315","51","14.318181818182","82.89","1","0","23","27.21","6","625.83","1906","318","1.9680188679245","982","All-rounder"
