Credits,Player Type,Player Name,Team,Matches,Runs,Highest Score,Batting Average,Strike Rate,50s,100s,Wickets,Bowling Average,Catches,Run_conceded,Ball_bowled,Over_bowled,Economy,Fantasy_score,Role
8.5,BOWL,Adil Rashid,ENG,144,912,69,6.333333333,96.61,1,0,207,22.71,46,4700.97,19998,3333,1.41,6499,Bowler
8,BAT,Ben Duckett,ENG,17,732,107,43.05882353,100.13,5,2,0,0,5,0,0,0,0,854,Batsman
7,BOWL,Brydon Carse,ENG,20,202,32,10.1,80.15,0,0,23,38.17,6,877.91,1843,307,2.86,861,Bowler
7,BOWL,Gus Atkinson,ENG,2,10,6,5,66.66,0,0,3,35,0,105,200,33,3.15,93,Bowler
7,BAT,Harry Brook,ENG,21,719,110,34.23809524,106.36,5,1,0,0,2,0,0,0,0,801,Batsman
6.5,ALL,Jamie Overton,ENG,2,32,32,16,145.45,0,0,1,17,0,17,145,24,0.7,63,All-rounder
6,WK,Jamie Smith,ENG,7,133,49,19,93,0,0,0,0,7,0,0,0,0,189,Wicketkeeper
8,ALL,Joe Root,ENG,172,6541,133,38.02906977,86.67,39,16,27,59.14,85,1596.78,2340,390,4.09,8510,All-rounder
8,BOWL,Jofra Archer,ENG,28,102,38,3.642857143,100.99,0,0,48,25.41,7,1219.68,4848,808,1.51,1400,Bowler
8.5,WK,Jos Buttler,ENG,182,5074,162,27.87912088,116.8,27,11,0,0,222,0,0,0,0,7248,Wicketkeeper
7,ALL,Liam Livingstone,ENG,34,849,124,24.97058824,110.69,4,1,21,37.95,14,796.95,2324,387,2.06,1576,All-rounder
7.5,BOWL,Mark Wood,ENG,59,168,33,2.847457627,76.06,0,0,71,38,12,2698,5400,900,3,2075,Bowler
7.5,WK,Philip Salt,ENG,28,909,122,32.46428571,115.64,5,1,0,0,11,0,0,0,0,1063,Wicketkeeper
7.5,BOWL,Saqib Mahmood,ENG,10,22,12,2.2,62.85,0,0,16,26.43,1,422.88,1006,168,2.52,466,Bowler
6.5,BAT,Tom Banton,ENG,7,172,58,28.66,92.41,1,0,0,0,4,0,0,0,0,212,Batsman
8,ALL,Aiden Markram,SA,74,2288,175,30.91891892,96.49,11,3,20,49.7,32,994,1930,322,3.09,3220,All-rounder
6.5,ALL,Corbin Bosch,SA,2,55,40,81,103.77,0,0,2,69.5,0,139,102,17,8.18,115,All-rounder
7.5,BAT,David Miller,SA,175,4490,139,25.65714286,102.98,24,6,0,0,87,0,0,0,0,5480,Batsman
9,WK,Heinrich Klaasen,SA,57,1987,174,34.85964912,116.69,9,4,0,0,48,0,0,0,0,2517,Wicketkeeper
9,BOWL,Kagiso Rabada,SA,103,385,31,3.737864078,79.38,0,0,162,27.56,39,4464.72,12860,2143,2.08,4783,Bowler
8,BOWL,Keshav Maharaj,SA,27,183,31,6.777777778,72.22,0,0,29,31,7,899,2094,349,2.58,1000,Bowler
7,BOWL,Lungi Ngidi,SA,62,123,20,1.983870968,52.56,0,0,96,28.42,15,2728.32,5046,841,3.24,2679,Bowler
8.5,ALL,Marco Jansen,SA,26,461,75,17.73076923,107.71,1,0,42,32,8,1312,4416,736,1.78,1625,All-rounder
8,BAT,Rassie van der-Dussen,SA,68,2464,134,36.23529412,86.33,14,6,1,3,29,3,86,14,0.21,2933,Batsman
7,WK,Ryan Rickelton,SA,6,291,91,31.33333333,89.52,1,0,0,0,6,0,0,0,0,351,Wicketkeeper
6.5,BOWL,Tabraiz Shamsi,SA,53,39,11,0.735849057,56.52,0,0,73,32.8,9,2394.4,4126,688,3.48,1972,Bowler
8,BAT,Temba Bavuma,SA,44,1631,144,37.06818182,88.68,4,5,0,0,28,0,0,0,0,1971,Batsman
6.5,BAT,Tony de Zorzi,SA,12,449,119,37.41666667,94.72,1,1,0,0,0,0,0,0,0,477,Batsman
7.5,BAT,Tristan Stubbs,SA,8,249,112,31.125,89.89,1,1,0,0,2,0,0,0,0,293,Batsman
7,ALL,Wiaan Mulder,SA,20,202,52,9.5,76.92,1,0,16,39.5,7,553,1077,179,3.08,702,All-rounder
